method,model_type,training,split,accuracy,macro_f1,roc_auc,average_precision,pairwise_accuracy,mrr,ndcg,eligible_queries
TFIDF,lexical,train statistics only,dev,0.5334063526834611,0.5332886346966418,0.5332130573473821,0.5261198267853668,0.5290889132821076,0.7642700329308453,0.8259512397617965,1822
TFIDF,lexical,train statistics only,test,0.5136986301369864,0.5136793196742434,0.5154244740312303,0.5114238237540585,0.5261707988980716,0.7630853994490359,0.8251917730527056,1815
BM25,lexical,train statistics only,dev,0.523001095290252,0.5225989031258602,0.5203622915439514,0.5120851476185725,0.5230515916575192,0.7612513721185511,0.8237230439820412,1822
BM25,lexical,train statistics only,test,0.5087671232876713,0.5078094899447444,0.5105289832271267,0.5056197912888484,0.5140495867768595,0.7578512396694215,0.8211968895335187,1815
MINILM_ZERO_SHOT,dense_biencoder,zero-shot,dev,0.5194414019715224,0.5192697937639319,0.5224141612751914,0.5264905837062486,0.5318331503841932,0.765825100622027,0.8271195681583433,1822
MINILM_ZERO_SHOT,dense_biencoder,zero-shot,test,0.5219178082191781,0.5217661446396024,0.5226371037669908,0.517161066091627,0.5112947658402204,0.7556473829201102,0.8195892078275654,1815
PATENTSBERTA_ZERO_SHOT,dense_biencoder,zero-shot,dev,0.5221796276013143,0.5221305762299566,0.5176437103587106,0.5224510849933872,0.5208562019758507,0.7602451518477864,0.8230242420664537,1822
PATENTSBERTA_ZERO_SHOT,dense_biencoder,zero-shot,test,0.5046575342465753,0.5041035148594609,0.507609253063097,0.505052426553989,0.5002754820936639,0.750137741046832,0.8154547315662438,1815
MSMARCO_MINILM_CROSS_ENCODER,cross_encoder,PatentMatch train supervised,dev,0.5221796276013143,0.520669264169096,0.5272625901395086,0.52360561083298,0.5502195389681669,0.7745151847786316,0.8335685033126228,1822
MSMARCO_MINILM_CROSS_ENCODER,cross_encoder,PatentMatch train supervised,test,0.5180821917808219,0.516243936896633,0.520578025206148,0.5239838358144275,0.5071625344352617,0.7534435261707989,0.8179277655133687,1815
