method,scope,year,pair_rows,classification_roc_auc,classification_average_precision,excluded_multi_date_queries,queries,pairwise_accuracy,mrr,ndcg,pairwise_ci95_lower,pairwise_ci95_upper
TFIDF,ALL_EXACT_TEXT_GROUPS,ALL,3650,0.5154244740312303,0.5114238237540585,0,1815,0.5261707988980716,0.7630853994490359,0.8251917730527056,0.5024793388429752,0.5498622589531681
TFIDF,DATE_CONSISTENT_ONLY,ALL,3612,0.5139840865136391,0.5095840014874842,71,1806,0.5260243632336655,0.7630121816168328,0.8250696949375238,0.5033084163898117,0.5492801771871539
TFIDF,DATE_CONSISTENT_ONLY,2017,3368,0.5156266749792655,0.5125880432672314,71,1684,0.5296912114014252,0.7648456057007126,0.8264230194944149,0.505938242280285,0.5540380047505938
TFIDF,DATE_CONSISTENT_ONLY,2018,244,0.4903923676431067,0.4848861543479755,71,122,0.47540983606557374,0.7377049180327869,0.8063893789227319,0.38524590163934425,0.5655737704918032
BM25,ALL_EXACT_TEXT_GROUPS,ALL,3650,0.5105289832271267,0.5056197912888484,0,1815,0.5140495867768595,0.7578512396694215,0.8211968895335187,0.4909090909090909,0.5371900826446281
BM25,DATE_CONSISTENT_ONLY,ALL,3612,0.5095761758822873,0.5045823777585013,71,1806,0.5132890365448505,0.7574750830564784,0.8209825382771855,0.49058693244739754,0.5362679955703211
BM25,DATE_CONSISTENT_ONLY,2017,3368,0.5109996769934722,0.5068740816323829,71,1684,0.5172209026128266,0.7595011876484561,0.8224780881192879,0.49346793349168644,0.5409738717339667
BM25,DATE_CONSISTENT_ONLY,2018,244,0.48951894651975275,0.4866395181885196,71,122,0.45901639344262296,0.7295081967213115,0.8003390470140672,0.36885245901639346,0.5491803278688525
MINILM_ZERO_SHOT,ALL_EXACT_TEXT_GROUPS,ALL,3650,0.5226371037669908,0.517161066091627,0,1815,0.5112947658402204,0.7556473829201102,0.8195892078275654,0.48814049586776864,0.5344352617079889
MINILM_ZERO_SHOT,DATE_CONSISTENT_ONLY,ALL,3612,0.5189210261353505,0.5124610993826793,71,1806,0.508859357696567,0.7544296788482835,0.8187346021139994,0.48615725359911405,0.53156146179402
MINILM_ZERO_SHOT,DATE_CONSISTENT_ONLY,2017,3368,0.5194796562307818,0.5130501192817865,71,1684,0.5118764845605701,0.755938242280285,0.8198481338692033,0.48812351543942994,0.5362232779097387
MINILM_ZERO_SHOT,DATE_CONSISTENT_ONLY,2018,244,0.5081295350712174,0.5147772176024836,71,122,0.4672131147540984,0.7336065573770492,0.8033642129683995,0.3770491803278688,0.5573770491803278
PATENTSBERTA_ZERO_SHOT,ALL_EXACT_TEXT_GROUPS,ALL,3650,0.507609253063097,0.505052426553989,0,1815,0.5002754820936639,0.750137741046832,0.8154547315662438,0.4765840220385675,0.5239669421487604
PATENTSBERTA_ZERO_SHOT,DATE_CONSISTENT_ONLY,ALL,3612,0.5066753310301947,0.50367598365581,71,1806,0.4988925802879291,0.7494462901439646,0.815056161119695,0.47619047619047616,0.5221483942414175
PATENTSBERTA_ZERO_SHOT,DATE_CONSISTENT_ONLY,2017,3368,0.506218404601644,0.5037392070861122,71,1684,0.5065320665083135,0.7532660332541568,0.8178756681816397,0.4821852731591449,0.5302850356294537
PATENTSBERTA_ZERO_SHOT,DATE_CONSISTENT_ONLY,2018,244,0.5054420854608976,0.5075171701650747,71,122,0.39344262295081966,0.6967213114754098,0.7761377193794087,0.3114754098360656,0.48360655737704916
MSMARCO_MINILM_CROSS_ENCODER,ALL_EXACT_TEXT_GROUPS,ALL,3650,0.520578025206148,0.5239838358144275,0,1815,0.5071625344352617,0.7534435261707989,0.8179277655133687,0.48457300275482096,0.5300275482093664
MSMARCO_MINILM_CROSS_ENCODER,DATE_CONSISTENT_ONLY,ALL,3612,0.5189087623511637,0.5221837253229518,71,1806,0.5058139534883721,0.7527685492801772,0.817508455115898,0.48255813953488375,0.5285229789590253
MSMARCO_MINILM_CROSS_ENCODER,DATE_CONSISTENT_ONLY,2017,3368,0.5220346167083237,0.5264120893135987,71,1684,0.5097980997624703,0.754750593824228,0.8189714824525084,0.48634204275534443,0.5338479809976246
MSMARCO_MINILM_CROSS_ENCODER,DATE_CONSISTENT_ONLY,2018,244,0.48239720505240524,0.4821361480145602,71,122,0.45081967213114754,0.7254098360655737,0.7973138810597348,0.36885245901639346,0.5409836065573771
