_split,query_id,rows,unique_dates,minimum_date,maximum_date,applications,multi_date
dev,Q_0002f8ac268df6a281c7,2,1,2016-09-28,2016-09-28,1,False
dev,Q_000402deb3096bc4d7ab,2,1,2017-03-22,2017-03-22,1,False
dev,Q_001994c0bf28fa1117f5,2,1,2017-02-08,2017-02-08,1,False
dev,Q_002520c63c6c36466fb0,2,1,2017-03-15,2017-03-15,1,False
dev,Q_003ad82735df2db6af02,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0042087a2b2489ba4eeb,2,1,2017-03-29,2017-03-29,1,False
dev,Q_006492ec854a306261a2,2,1,2016-09-28,2016-09-28,1,False
dev,Q_007f6a3ae8240d99d2fa,2,1,2017-01-04,2017-01-04,1,False
dev,Q_00820119fe1da115d8d8,2,1,2016-12-14,2016-12-14,1,False
dev,Q_008df02ddf5f72729f5e,2,1,2017-04-19,2017-04-19,1,False
dev,Q_008e468c657a98bc8cef,2,1,2016-10-12,2016-10-12,1,False
dev,Q_00cb0ea25cdb2bfc4372,2,1,2016-10-05,2016-10-05,1,False
dev,Q_00f5bd8c65de36690b04,2,1,2016-11-23,2016-11-23,1,False
dev,Q_0132cf0e40e957c20703,2,1,2016-09-28,2016-09-28,1,False
dev,Q_0153675bcfa5f4f90408,2,1,2017-04-26,2017-04-26,1,False
dev,Q_017078a8f4d52e4c2552,2,1,2017-02-15,2017-02-15,1,False
dev,Q_01aa928600aa9ed472b7,2,1,2017-03-29,2017-03-29,1,False
dev,Q_01dc84aeaa3aa7b2cbb1,2,1,2016-11-23,2016-11-23,1,False
dev,Q_01debef8abefe65d3b30,2,1,2017-03-22,2017-03-22,1,False
dev,Q_01eadc4f0a76a6b8b94c,2,1,2017-01-04,2017-01-04,1,False
dev,Q_0200554a8591773d15f0,2,1,2016-12-21,2016-12-21,1,False
dev,Q_0215e2cea256528c1b68,2,1,2017-01-11,2017-01-11,1,False
dev,Q_0228bf1570b1e9a4d1be,2,1,2017-03-08,2017-03-08,1,False
dev,Q_026841a081d0c63e0e14,2,1,2016-11-23,2016-11-23,1,False
dev,Q_029ba111c3d7c2833dff,2,1,2017-05-03,2017-05-03,1,False
dev,Q_02b739c6b713b279f053,2,1,2017-04-26,2017-04-26,1,False
dev,Q_02ca4d615e96e33d9c83,2,1,2016-10-12,2016-10-12,1,False
dev,Q_02dcf432fd32bb9e538b,2,1,2017-03-22,2017-03-22,1,False
dev,Q_03084c2a6b93146f3369,2,1,2016-12-21,2016-12-21,1,False
dev,Q_030fb70d723facc226aa,2,1,2017-02-22,2017-02-22,1,False
dev,Q_031ee5a90a651612f6d6,2,1,2016-09-28,2016-09-28,1,False
dev,Q_03234ff0d332254ebfd3,2,1,2017-01-25,2017-01-25,1,False
dev,Q_032ce37583299878c8f6,2,1,2016-12-14,2016-12-14,1,False
dev,Q_0339f4728604387e0fe9,2,1,2016-09-28,2016-09-28,1,False
dev,Q_035c0256b849b1217e79,2,1,2017-03-01,2017-03-01,1,False
dev,Q_035c87fadf1d714c3deb,2,1,2017-01-04,2017-01-04,1,False
dev,Q_036e98feaa565d450f71,2,1,2016-10-19,2016-10-19,1,False
dev,Q_039bfeb8ef00b6ad75e9,2,1,2017-01-04,2017-01-04,1,False
dev,Q_03fb34ae12ae297b6295,2,1,2017-02-22,2017-02-22,1,False
dev,Q_041c17df093f3e338f0e,2,1,2017-02-22,2017-02-22,1,False
dev,Q_0437a78250817ddb4a0e,2,1,2017-03-15,2017-03-15,1,False
dev,Q_0465c6983b4c677cb8aa,2,1,2016-12-28,2016-12-28,1,False
dev,Q_046731c00144f64fc7bd,2,1,2016-09-28,2016-09-28,1,False
dev,Q_04a65a35170f50757b63,2,1,2017-04-19,2017-04-19,1,False
dev,Q_04d0f82b1b6a63dacd5a,2,1,2017-01-04,2017-01-04,1,False
dev,Q_04eebbc794990d6cb876,2,1,2016-09-28,2016-09-28,1,False
dev,Q_04efb18d0257194ca336,2,1,2016-12-21,2016-12-21,1,False
dev,Q_0512547f51d32380d060,2,1,2016-12-28,2016-12-28,1,False
dev,Q_054397900f5d8aa629c9,2,1,2016-12-28,2016-12-28,1,False
dev,Q_05458139ab457990e3cd,2,1,2016-12-21,2016-12-21,1,False
dev,Q_0547e30db4ae0391ca0c,2,1,2017-02-01,2017-02-01,1,False
dev,Q_05648ab4bb81962eab92,2,1,2017-05-03,2017-05-03,1,False
dev,Q_056ae34a069d4b8e5824,2,1,2017-02-22,2017-02-22,1,False
dev,Q_057d0a5428dfe555227d,2,1,2017-01-04,2017-01-04,1,False
dev,Q_05831e57b2f6711d3397,2,1,2016-12-28,2016-12-28,1,False
dev,Q_05921e7ca0dc97ea7b94,2,1,2016-12-28,2016-12-28,1,False
dev,Q_05a330060208e81bda7f,2,1,2016-11-16,2016-11-16,1,False
dev,Q_05b7152a95d5f58e9099,2,1,2017-02-01,2017-02-01,1,False
dev,Q_05bd42decb13cc106353,2,1,2016-11-23,2016-11-23,1,False
dev,Q_05cecd488f4f86d8f8f6,2,1,2017-05-10,2017-05-10,1,False
dev,Q_05d1e94d0eb7f130dd12,2,1,2017-02-01,2017-02-01,1,False
dev,Q_05e4bad1ce18aa9d83a3,2,1,2016-11-16,2016-11-16,1,False
dev,Q_05e64abe9ffecbdd65eb,2,1,2017-04-12,2017-04-12,1,False
dev,Q_05e8ba5ffd7868e359d7,2,1,2016-09-28,2016-09-28,1,False
dev,Q_05fb2255e3055d66c3aa,2,1,2017-01-25,2017-01-25,1,False
dev,Q_063368bfb99c183b44ed,2,1,2017-02-08,2017-02-08,1,False
dev,Q_0643d3a8f5ab6914afd2,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0648ae97e9606e902fe1,2,1,2017-02-08,2017-02-08,1,False
dev,Q_0661862b0d8df0d8a8e0,2,1,2016-09-28,2016-09-28,1,False
dev,Q_067728075a5db21b8255,2,1,2017-01-04,2017-01-04,1,False
dev,Q_069ac8df3b26f974a696,2,1,2016-12-21,2016-12-21,1,False
dev,Q_06b5f9f70aa4a5818228,2,1,2016-12-07,2016-12-07,1,False
dev,Q_06b8ace345a757ed6dd9,2,1,2016-11-09,2016-11-09,1,False
dev,Q_06c5e4e0e9968d933323,2,1,2017-04-19,2017-04-19,1,False
dev,Q_06c7755588a8d943947e,2,1,2017-03-29,2017-03-29,1,False
dev,Q_06e12f564eb37942ad2d,2,1,2016-11-23,2016-11-23,1,False
dev,Q_06fcca0ce05b7fd30cb6,2,1,2017-05-03,2017-05-03,1,False
dev,Q_07289a4ae446057daf9a,2,1,2017-02-15,2017-02-15,1,False
dev,Q_07a08bdeb6acb37ad221,2,1,2017-05-03,2017-05-03,1,False
dev,Q_07c3e7ceaf9c78e1db9b,2,1,2016-11-23,2016-11-23,1,False
dev,Q_07f3cb1100123d9cc76e,2,1,2016-09-28,2016-09-28,1,False
dev,Q_07f53ffac87625e88c5a,2,1,2017-01-11,2017-01-11,1,False
dev,Q_0884ece379875e57839b,2,1,2016-11-02,2016-11-02,1,False
dev,Q_08a8398a5327c83acd3f,2,1,2016-12-21,2016-12-21,1,False
dev,Q_08ad32f75ee2a380009a,2,1,2017-02-15,2017-02-15,1,False
dev,Q_08be4d661015b90f843a,2,1,2016-09-28,2016-09-28,1,False
dev,Q_08c272c3d4383c19d6c1,2,1,2016-10-19,2016-10-19,1,False
dev,Q_08c3656674961f13943b,2,1,2017-03-22,2017-03-22,1,False
dev,Q_09147d38a8b4134acf1c,2,1,2017-01-11,2017-01-11,1,False
dev,Q_091b3def9ebbd9a14944,2,1,2017-05-03,2017-05-03,1,False
dev,Q_094a262b73fb416fe43a,2,1,2016-11-23,2016-11-23,1,False
dev,Q_0960ecb8c7337cfde1db,2,1,2017-03-22,2017-03-22,1,False
dev,Q_09ab7db27da7d9a0e23b,2,1,2017-02-01,2017-02-01,1,False
dev,Q_09d1dd9ef0a76d1f1692,2,1,2016-12-07,2016-12-07,1,False
dev,Q_09edb17d1a4af9153b1e,2,1,2017-01-04,2017-01-04,1,False
dev,Q_09f0e1cdc195721d4047,2,1,2016-11-23,2016-11-23,1,False
dev,Q_09fec8fdd9fb25444bc5,2,1,2017-02-15,2017-02-15,1,False
dev,Q_0a2a82209bc9bd71bd5d,2,1,2016-12-07,2016-12-07,1,False
dev,Q_0a4a718b6925898984e6,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0a60660fb69476944d07,2,1,2017-02-22,2017-02-22,1,False
dev,Q_0ae015ef3765450973ec,2,1,2017-01-11,2017-01-11,1,False
dev,Q_0afda8aa3e59c31a9a82,2,1,2016-11-23,2016-11-23,1,False
dev,Q_0aff720fcc575475ff3e,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0b5e6c8a531f2c85f6e5,2,1,2016-11-23,2016-11-23,1,False
dev,Q_0b787a39e7cf482e8732,2,1,2017-04-19,2017-04-19,1,False
dev,Q_0b920f30b4127a299da4,2,1,2017-01-04,2017-01-04,1,False
dev,Q_0bc529e4128204bd87dd,2,1,2016-10-05,2016-10-05,1,False
dev,Q_0bef71f5042a571f4c82,2,1,2016-12-14,2016-12-14,1,False
dev,Q_0c03356252a925d8068d,2,1,2017-02-08,2017-02-08,1,False
dev,Q_0c0a112e78dcf1dd295e,2,1,2016-11-02,2016-11-02,1,False
dev,Q_0c507810993412f1cbce,2,1,2017-05-03,2017-05-03,1,False
dev,Q_0c888f673de9968a0e45,2,1,2017-04-19,2017-04-19,1,False
dev,Q_0c969821505dbe9e2263,2,1,2016-12-21,2016-12-21,1,False
dev,Q_0ca8bb0a8d3019b3f9d8,2,1,2017-03-29,2017-03-29,1,False
dev,Q_0cde31045c2b27a6d489,2,1,2016-10-05,2016-10-05,1,False
dev,Q_0cf081531dd870d50dc3,2,1,2017-01-25,2017-01-25,1,False
dev,Q_0d7cfe086c8b130fb4a8,2,1,2016-10-05,2016-10-05,1,False
dev,Q_0d85bd4430aa903195ce,2,1,2017-02-08,2017-02-08,1,False
dev,Q_0da12f59bcd4b6af3174,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0dcd624c823de8deaa72,2,1,2016-12-28,2016-12-28,1,False
dev,Q_0ddd08b332c06f695b22,2,1,2016-11-16,2016-11-16,1,False
dev,Q_0dffc141b3f744c54ff1,2,1,2017-02-15,2017-02-15,1,False
dev,Q_0e2e81d964bd1d6f9406,2,1,2016-11-23,2016-11-23,1,False
dev,Q_0e679a5c4dfceabbbd9d,2,1,2016-12-21,2016-12-21,1,False
dev,Q_0e928933e8bf56fbd990,2,1,2016-09-28,2016-09-28,1,False
dev,Q_0eb42b6f7bdae33e01d8,2,1,2016-11-16,2016-11-16,1,False
dev,Q_0eb45aae43ae7453721b,2,1,2017-01-25,2017-01-25,1,False
dev,Q_0ef661c9604f3292fd06,2,1,2016-11-02,2016-11-02,1,False
